,Index,Character,Pronunciation
,1,あ,a
,2,か,ka
,3,が,ga
,4,さ,sa
,5,ざ,za
,6,た,ta
,7,だ,da
,8,な,na
,9,は,ha
,10,ば,ba
,11,ぱ,pa
,12,ま,ma
,13,や,ya
,14,ら,ra
,15,わ,wa
,16,い,i
,17,き,ki
,18,ぎ,gi
,19,し,shi
,20,じ,ji
,21,ち,chi
,22,ぢ,ji
,23,に,ni
,24,ひ,hi
,25,び,bi
,26,ぴ,pi
,27,み,mi
,28,り,ri
,29,を,wo
,30,う,u
,31,く,ku
,32,ぐ,gu
,33,す,su
,34,ず,zu
,35,つ,tsu
,36,づ,zu
,37,ぬ,nu
,38,ふ,fu
,39,ぶ,bu
,40,ぷ,pu
,41,む,mu
,42,ゆ,yu
,43,る,ru
,44,ん,n/m
,45,え,e
,46,け,ke
,47,げ,ge
,48,せ,se
,49,ぜ,ze
,50,て,te
,51,で,de
,52,ね,ne
,53,へ,he
,54,べ,be
,55,ぺ,pe
,56,め,me
,57,れ,re
,58,お,o
,59,こ,ko
,60,ご,go
,61,そ,so
,62,ぞ,zo
,63,と,to
,64,ど,do
,65,の,no
,66,ほ,ho
,67,ぼ,bo
,68,ぽ,po
,69,も,mo
,70,よ,yo
,71,ろ,ro
